;06,74,;05,11,;06,19,;01,61,;04,34,;01,67,;04,47,;06,20,;02,77,;06,66,;05,13,;03,44,;05,66,;04,58,;02,90,;04,82,;03,01,;06,67,;01,18,;04,39,
;06,58,;03,65,;05,31,;04,71,;01,25,;04,48,;02,23,;02,67,;05,48,;04,72,;03,79,;05,34,;05,63,;01,48,;04,70,;02,46,;04,93,;02,92,;03,44,;03,56,
;06,20,;04,14,;05,33,;04,69,;04,97,;05,13,;02,50,;03,60,;06,64,;05,17,;02,28,;05,54,;06,05,;02,92,;06,29,;01,82,;02,60,;02,53,;01,94,;02,67,
;05,42,;02,14,;05,26,;05,36,;04,20,;03,89,;02,31,;05,70,;02,15,;04,80,;01,52,;01,23,;02,58,;02,98,;06,06,;05,19,;06,85,;01,24,;06,86,;06,96,
;05,66,;03,85,;02,29,;03,72,;03,51,;01,67,;03,97,;02,95,;04,06,;04,50,;02,33,;06,25,;01,64,;04,55,;02,18,;03,86,;05,87,;03,55,;03,83,;05,82,
;01,89,;01,62,;02,41,;03,65,;06,84,;02,10,;02,36,;01,70,;06,64,;03,50,;06,49,;05,63,;05,24,;01,78,;04,16,;03,39,;02,66,;05,80,;05,22,;03,29,
;04,38,;02,33,;01,78,;01,83,;03,13,;04,88,;04,94,;02,59,;05,58,;05,49,;01,55,;06,11,;06,92,;06,81,;03,92,;01,89,;01,13,;02,64,;06,88,;04,82,
;06,13,;05,74,;04,83,;01,32,;05,50,;02,95,;06,70,;05,20,;04,61,;04,56,;02,81,;04,77,;04,91,;02,65,;03,75,;03,26,;04,68,;02,49,;02,41,;06,76,
;06,11,;03,23,;06,05,;01,90,;05,86,;01,85,;02,77,;05,77,;03,98,;06,51,;02,49,;04,39,;01,32,;05,69,;04,55,;04,25,;02,38,;04,39,;02,32,;05,15,
;05,49,;01,36,;06,94,;03,31,;01,97,;01,17,;04,19,;02,81,;05,22,;04,13,;02,29,;05,66,;05,64,;06,62,;04,30,;05,81,;03,48,;04,53,;03,54,;03,98,
;04,56,;01,53,;04,24,;06,67,;04,53,;05,63,;03,66,;02,25,;03,11,;06,21,;03,87,;06,78,;05,18,;01,02,;03,09,;06,32,;02,76,;03,02,;02,94,;05,71,
;05,35,;06,49,;03,59,;04,98,;04,85,;02,25,;02,81,;04,53,;05,73,;05,38,;05,49,;06,25,;06,83,;03,52,;02,18,;01,43,;01,06,;05,93,;03,86,;04,11,
;04,81,;05,91,;01,49,;06,98,;06,75,;02,11,;01,02,;02,15,;02,15,;02,19,;01,27,;02,17,;02,70,;04,55,;04,48,;01,60,;05,87,;05,53,;06,32,;01,37,
;03,12,;05,82,;04,62,;04,22,;03,86,;02,28,;04,59,;05,53,;03,91,;03,14,;02,82,;02,03,;02,60,;03,38,;04,37,;02,64,;06,11,;01,18,;05,43,;05,91,
;03,06,;05,48,;06,13,;01,05,;02,86,;03,44,;04,60,;02,67,;04,36,;05,82,;02,77,;03,49,;03,46,;02,27,;04,08,;05,98,;02,90,;06,85,;05,30,;04,85,
;01,56,;06,80,;05,49,;04,22,;02,95,;02,21,;04,92,;01,61,;05,61,;03,82,;06,18,;05,93,;05,26,;05,50,;01,48,;02,82,;01,17,;03,95,;05,92,;03,56,
;01,88,;06,41,;05,38,;03,58,;06,63,;04,60,;05,21,;05,74,;03,81,;01,96,;03,90,;06,78,;02,57,;05,65,;04,69,;06,85,;06,72,;05,84,;05,04,;02,98,
;02,66,;01,02,;05,82,;05,25,;04,05,;06,80,;04,31,;05,33,;03,68,;02,89,;01,59,;02,07,;01,48,;05,25,;02,64,;06,71,;06,44,;06,47,;03,67,;04,28,
;06,06,;06,39,;02,89,;04,21,;01,62,;01,92,;01,37,;05,95,;05,69,;02,42,;02,46,;05,09,;01,30,;02,60,;06,85,;06,68,;06,45,;01,66,;01,31,;01,49,
;06,94,;01,75,;02,82,;02,81,;02,52,;02,66,;01,70,;04,41,;03,76,;05,04,;06,11,;05,21,;06,46,;06,03,;05,42,;01,27,;04,72,;06,51,;06,17,;03,35,
;02,24,;01,14,;05,31,;06,29,;04,16,;02,87,;02,70,;04,95,;01,51,;01,93,;06,89,;04,33,;01,96,;06,63,;06,02,;05,81,;02,88,;06,60,;06,82,;06,83,
;05,61,;05,42,;03,72,;06,65,;01,46,;05,81,;06,28,;05,23,;04,53,;05,70,;05,89,;04,97,;06,53,;05,23,;04,58,;05,13,;06,45,;04,48,;01,30,;05,16,
;02,08,;04,88,;06,08,;02,95,;04,05,;03,36,;01,49,;05,14,;01,21,;05,65,;03,13,;05,47,;03,32,;06,97,;01,47,;01,92,;01,71,;06,81,;03,40,;04,96,
;03,58,;01,98,;03,87,;01,12,;05,44,;02,62,;02,78,;02,30,;03,89,;05,18,;01,33,;05,32,;03,67,;03,83,;03,60,;02,96,;01,59,;04,45,;04,40,;03,22,
;06,42,;02,80,;05,66,;01,46,;01,28,;06,75,;01,83,;05,54,;04,15,;02,36,;02,15,;01,30,;04,34,;06,18,;04,41,;01,45,;06,08,;06,11,;01,75,;03,21,
;01,73,;01,51,;05,52,;01,42,;04,57,;05,03,;02,30,;01,40,;01,17,;04,40,;02,52,;03,56,;01,35,;06,48,;03,38,;05,77,;05,61,;04,96,;01,31,;04,41,
;06,83,;05,17,;05,45,;06,52,;01,71,;03,87,;06,71,;04,39,;04,78,;03,35,;03,02,;01,10,;04,27,;01,32,;01,84,;04,19,;02,34,;03,98,;05,19,;04,44,
;06,54,;03,52,;04,41,;03,65,;02,11,;04,49,;03,55,;02,78,;02,98,;05,44,;04,79,;02,67,;01,60,;03,44,;01,97,;05,25,;04,22,;01,92,;06,10,;06,18,
;06,46,;03,29,;04,06,;05,20,;04,47,;04,54,;01,87,;02,52,;01,27,;03,04,;05,81,;02,08,;04,68,;01,42,;02,34,;01,37,;01,81,;02,04,;03,32,;03,82,
;06,95,;01,58,;04,90,;04,69,;06,96,;05,26,;06,80,;02,95,;01,30,;05,53,;02,41,;05,47,;01,47,;03,25,;01,49,;02,08,;06,11,;05,15,;01,44,;01,05,
;01,13,;05,57,;05,55,;06,88,;05,74,;06,87,;05,26,;01,20,;06,80,;02,24,;04,10,;05,04,;01,26,;04,82,;06,23,;03,98,;02,88,;05,04,;04,05,;01,01,
;02,25,;06,73,;04,20,;02,75,;05,60,;01,88,;02,20,;06,50,;02,92,;06,67,;05,86,;06,87,;06,23,;03,23,;06,68,;04,72,;06,83,;02,46,;03,04,;02,97,
;02,98,;02,92,;06,85,;04,33,;03,29,;01,22,;06,10,;03,14,;02,17,;05,85,;06,42,;03,30,;02,40,;02,41,;04,68,;02,88,;05,52,;05,35,;01,70,;04,65,
;02,41,;04,84,;02,64,;03,59,;01,28,;03,27,;06,28,;01,13,;03,64,;04,19,;03,97,;02,62,;04,54,;04,10,;01,98,;03,40,;04,02,;06,05,;04,86,;05,28,
;02,88,;04,70,;06,06,;02,21,;03,10,;04,48,;06,40,;05,14,;04,47,;06,79,;06,56,;06,72,;03,43,;04,21,;06,47,;04,43,;02,24,;05,77,;05,24,;06,64,
;04,56,;06,65,;01,11,;01,81,;04,29,;06,11,;02,47,;05,53,;01,07,;01,16,;02,44,;04,53,;05,32,;02,39,;04,36,;02,59,;03,18,;06,69,;03,37,;01,91,
;04,52,;04,23,;01,17,;01,74,;03,67,;05,33,;06,85,;02,52,;01,14,;04,17,;01,08,;06,08,;02,11,;05,77,;04,15,;02,53,;05,21,;05,08,;03,84,;04,05,
;02,51,;02,20,;02,45,;04,44,;02,97,;06,95,;02,56,;02,66,;03,83,;05,94,;05,85,;05,55,;01,62,;05,05,;05,13,;01,64,;06,93,;02,92,;04,53,;05,19,
;04,87,;06,98,;06,70,;05,18,;05,52,;03,09,;03,22,;03,78,;06,67,;02,04,;01,69,;03,81,;05,29,;04,28,;01,91,;02,29,;05,74,;03,85,;04,74,;06,91,
;03,71,;01,82,;02,43,;03,02,;03,82,;05,92,;02,41,;05,20,;02,98,;04,47,;05,20,;02,11,;03,91,;03,49,;06,86,;06,14,;05,20,;03,44,;03,60,;06,48,
;03,50,;02,71,;01,74,;01,68,;01,47,;05,45,;03,21,;05,61,;03,76,;06,05,;05,84,;06,37,;03,65,;02,52,;03,30,;03,59,;04,91,;04,05,;02,54,;02,28,
;06,51,;03,97,;02,53,;04,85,;05,05,;06,83,;06,10,;05,19,;04,21,;04,51,;02,04,;05,95,;04,55,;01,96,;06,73,;03,14,;03,70,;01,03,;06,50,;02,07,
;05,29,;03,44,;03,16,;04,98,;01,34,;02,46,;04,43,;05,64,;04,29,;03,84,;06,58,;03,17,;06,16,;05,75,;02,46,;06,11,;02,52,;05,75,;04,30,;01,64,
;02,36,;03,89,;04,31,;06,67,;04,77,;06,34,;04,74,;03,28,;03,19,;03,45,;03,39,;03,08,;04,14,;06,47,;06,82,;03,29,;01,79,;01,63,;03,40,;06,44,
